16:47:55.736 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - [ETAPA 1/3] Buscando dados da fonte...
16:48:01.235 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - --- Iniciando novo ciclo de processamento em 2025-07-02T16:48:01.2356236-03:00 ---
16:48:01.235 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - [ETAPA 1/3] Buscando dados da fonte...
16:48:06.980 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - --- Iniciando novo ciclo de processamento em 2025-07-02T16:48:06.9806239-03:00 ---
16:48:06.980 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - [ETAPA 1/3] Buscando dados da fonte...
16:48:17.010 [Thread-0] ERROR com.gsmart.pipeline.DataPipeline - Falha na pipeline: Connect timed out
16:48:17.011 [Thread-0] INFO  c.gsmart.sources.ThingsBoardSource - Token de autenticação do ThingsBoard foi limpo devido a uma falha de conexão.
16:48:17.013 [Thread-0] INFO  ReconnectionLogger - CONEXÃO PERDIDA - Pipeline: ThingsBoard (Device: 06e109e0-e8ff-11ee-bb8b-2563c61db9b0)
16:48:22.014 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - Tentando reconectar...
16:48:22.014 [Thread-0] INFO  c.gsmart.sources.ThingsBoardSource - Autenticando no ThingsBoard em http://10.8.0.5:8080...
16:48:32.019 [Thread-0] ERROR com.gsmart.pipeline.DataPipeline - Tentativa de reconexão falhou: Connect timed out
16:48:32.020 [Thread-0] INFO  ReconnectionLogger - CONEXÃO PERDIDA - Pipeline: ThingsBoard (Device: 06e109e0-e8ff-11ee-bb8b-2563c61db9b0)
16:48:42.024 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - Tentando reconectar...
16:48:42.024 [Thread-0] INFO  c.gsmart.sources.ThingsBoardSource - Autenticando no ThingsBoard em http://10.8.0.5:8080...
16:48:52.026 [Thread-0] ERROR com.gsmart.pipeline.DataPipeline - Tentativa de reconexão falhou: Connect timed out
16:48:52.026 [Thread-0] INFO  ReconnectionLogger - CONEXÃO PERDIDA - Pipeline: ThingsBoard (Device: 06e109e0-e8ff-11ee-bb8b-2563c61db9b0)
16:49:07.028 [Thread-0] INFO  com.gsmart.pipeline.DataPipeline - Tentando reconectar...
16:49:07.028 [Thread-0] INFO  c.gsmart.sources.ThingsBoardSource - Autenticando no ThingsBoard em http://10.8.0.5:8080...
16:49:17.030 [Thread-0] ERROR com.gsmart.pipeline.DataPipeline - Tentativa de reconexão falhou: Connect timed out
